,date,id,price,bedrooms,sqft_living,sqft_lot,waterfront,view,condition,zipcode,lat,long,renovated,basement,multilevel,bedrooms_bin,bathrooms_bin,grade_bin,age,month,yr_quarter
0,2014-10-13,7129300520,221900.0,3,1180,5650,0.0,0,3,98178,47.5112,-122.257,0,0,0,3,0.5-1.75,average,66,10,4
1,2014-12-09,6414100192,538000.0,3,2570,7242,0.0,0,3,98125,47.721000000000004,-122.319,1,1,1,3,2-2.5,average,70,12,4
2,2015-02-25,5631500400,180000.0,2,770,10000,0.0,0,3,98028,47.7379,-122.23299999999999,0,0,0,1-2,0.5-1.75,below_average,88,2,1
3,2014-12-09,2487200875,604000.0,4,1960,5000,0.0,0,5,98136,47.5208,-122.39299999999999,0,1,0,4,2.75_more,average,56,12,4
4,2015-02-18,1954400510,510000.0,3,1680,8080,0.0,0,3,98074,47.6168,-122.045,0,0,0,3,2-2.5,good,34,2,1
5,2014-05-12,7237550310,1230000.0,4,5420,101930,0.0,0,3,98053,47.6561,-122.005,0,1,0,4,2.75_more,great,20,5,2
6,2014-06-27,1321400060,257500.0,3,1715,6819,0.0,0,3,98003,47.3097,-122.32700000000001,0,0,1,3,2-2.5,average,26,6,2
7,2015-01-15,2008000270,291850.0,3,1060,9711,0.0,0,3,98198,47.4095,-122.315,0,0,0,3,0.5-1.75,average,58,1,1
8,2015-04-15,2414600126,229500.0,3,1780,7470,0.0,0,3,98146,47.5123,-122.337,0,1,0,3,0.5-1.75,average,61,4,2
9,2015-03-12,3793500160,323000.0,3,1890,6560,0.0,0,3,98038,47.3684,-122.031,0,0,1,3,2-2.5,average,18,3,1
10,2015-04-03,1736800520,662500.0,3,3560,9796,0.0,0,3,98007,47.6007,-122.145,0,1,0,3,2-2.5,good,56,4,2
11,2014-05-27,9212900260,468000.0,2,1160,6000,0.0,0,4,98115,47.69,-122.292,0,1,0,1-2,0.5-1.75,average,79,5,2
12,2014-05-28,114101516,310000.0,3,1430,19901,0.0,0,4,98028,47.7558,-122.229,0,0,1,3,0.5-1.75,average,94,5,2
13,2014-10-07,6054650070,400000.0,3,1370,9680,0.0,0,4,98074,47.6127,-122.045,0,0,0,3,0.5-1.75,average,44,10,4
14,2015-03-12,1175000570,530000.0,5,1810,4850,0.0,0,3,98107,47.67,-122.39399999999999,0,0,1,5_more,2-2.5,average,121,3,1
15,2015-01-24,9297300055,650000.0,4,2950,5000,0.0,1,3,98126,47.5714,-122.375,0,1,1,4,2.75_more,great,42,1,1
16,2014-07-31,1875500060,395000.0,3,1890,14040,0.0,0,3,98019,47.7277,-121.962,0,0,1,3,2-2.5,average,27,7,3
17,2014-05-29,6865200140,485000.0,4,1600,4300,0.0,0,4,98103,47.6648,-122.34299999999999,0,0,1,4,0.5-1.75,average,105,5,2
18,2014-12-05,16000397,189000.0,2,1200,9850,0.0,0,4,98002,47.3089,-122.21,0,0,0,1-2,0.5-1.75,average,100,12,4
19,2015-04-24,7983200060,230000.0,3,1250,9774,0.0,0,4,98003,47.3343,-122.306,0,0,0,3,0.5-1.75,average,52,4,2
20,2014-05-14,6300500875,385000.0,4,1620,4980,0.0,0,4,98133,47.7025,-122.34100000000001,0,1,0,4,0.5-1.75,average,74,5,2
21,2014-08-26,2524049179,2000000.0,3,3050,44867,0.0,1,3,98040,47.5316,-122.23299999999999,0,1,0,3,2.75_more,great,53,8,3
22,2014-07-03,7137970340,285000.0,5,2270,6300,0.0,0,3,98092,47.3266,-122.169,0,0,1,5_more,2-2.5,good,26,7,3
23,2014-05-16,8091400200,252700.0,2,1070,9643,0.0,0,3,98030,47.3533,-122.166,0,0,0,1-2,0.5-1.75,average,36,5,2
24,2014-11-20,3814700200,329000.0,3,2450,6500,0.0,0,4,98030,47.3739,-122.17200000000001,0,0,1,3,2-2.5,good,36,11,4
25,2014-11-03,1202000200,233000.0,3,1710,4697,0.0,0,5,98002,47.3048,-122.21799999999999,0,0,1,3,2-2.5,below_average,80,11,4
26,2014-06-26,1794500383,937000.0,3,2450,2691,0.0,0,3,98119,47.6386,-122.36,0,1,1,3,0.5-1.75,good,106,6,2
27,2014-12-01,3303700376,667000.0,3,1400,1581,0.0,0,5,98112,47.6221,-122.314,0,0,1,3,0.5-1.75,good,112,12,4
28,2014-06-24,5101402488,438000.0,3,1520,6380,0.0,0,3,98115,47.695,-122.304,0,1,0,3,0.5-1.75,average,73,6,2
29,2015-03-02,1873100390,719000.0,4,2570,7173,0.0,0,3,98052,47.7073,-122.11,0,0,1,4,2-2.5,good,16,3,1
30,2014-11-10,8562750320,580500.0,3,2320,3980,0.0,0,3,98027,47.5391,-122.07,0,0,1,3,2-2.5,good,18,11,4
31,2014-12-01,2426039314,280000.0,2,1190,1265,0.0,0,3,98133,47.7274,-122.35700000000001,0,0,1,1-2,0.5-1.75,average,16,12,4
32,2014-06-24,461000390,687500.0,4,2330,5000,0.0,0,4,98117,47.6823,-122.368,0,1,1,4,0.5-1.75,average,92,6,2
